kernel,N,bx,by,bz,total_threads,exec_time,gpu,dimensionality,compute_intensity,has_shared_memory,global_reads,global_writes,arithmetic_ops,memory_ops,speedup_vs_avg,speedup_vs_worst,configs_tested,worst_exec_time,avg_exec_time
mm2_kernel1,32,32,2,1,64,0.0226,tesla_c2075,2,4.25,0,3,1,17,4,1.3940160134850401,3.5752212389380533,21,0.0808,0.0315047619047619
mm2_kernel1,64,16,16,1,256,0.0203,geforce_gtx_1080_ti,2,4.25,0,3,1,17,4,1.8660416335610996,14.472906403940888,93,0.2938,0.03788064516129032
mm2_kernel1,128,16,32,1,512,0.0317,geforce_gtx_1080_ti,2,4.25,0,3,1,17,4,4.319070344306937,45.48580441640379,117,1.4419,0.1369145299145299
mm2_kernel1,256,16,4,1,64,0.1185,nvidia_geforce_rtx_2070_super,2,4.25,0,3,1,17,4,8.15428512139448,91.80168776371309,122,10.8785,0.9662827868852459
mm2_kernel1,512,32,4,1,128,0.7508,geforce_gtx_1080_ti,2,4.25,0,3,1,17,4,3.801138649386233,15.568859882791688,98,11.6891,2.853894897959184
mm2_kernel1,1024,32,8,1,256,5.7312,geforce_gtx_1080_ti,2,4.25,0,3,1,17,4,4.280197100956169,21.416561976549414,96,122.7426,24.530665624999997
mm2_kernel1,2048,32,8,1,256,46.7756,geforce_gtx_1080_ti,2,4.25,0,3,1,17,4,4.322652003853047,15.231501039003241,56,712.4626,202.19464107142858
mm2_kernel2,32,32,1,1,32,0.0151,tesla_c2075,2,3.75,0,4,0,15,4,1.545253863134658,4.827814569536424,21,0.0729,0.023333333333333334
mm2_kernel2,64,16,32,1,512,0.0125,geforce_gtx_1080_ti,2,3.75,0,4,0,15,4,2.409806451612903,22.904,93,0.2863,0.030122580645161292
mm2_kernel2,128,16,4,1,64,0.0247,geforce_gtx_1080_ti,2,3.75,0,4,0,15,4,5.31070279248417,58.4331983805668,117,1.4433,0.131174358974359
mm2_kernel2,256,16,4,1,64,0.1164,nvidia_geforce_rtx_2070_super,2,3.75,0,4,0,15,4,8.244584812123259,93.58247422680412,122,10.893,0.9596696721311474
mm2_kernel2,512,32,2,1,64,0.7489,geforce_gtx_1080_ti,2,3.75,0,4,0,15,4,3.813661397260199,15.611697155828548,98,11.6916,2.856051020408163
mm2_kernel2,1024,128,1,1,128,5.7073,geforce_gtx_1080_ti,2,3.75,0,4,0,15,4,4.217285501317026,18.36122159339793,96,104.793,24.069313541666663
mm2_kernel2,2048,32,8,1,256,46.8589,geforce_gtx_1080_ti,2,3.75,0,4,0,15,4,4.3579543739670745,16.165076431585035,56,757.4777,204.20894821428573
mm3_kernel1,32,32,2,1,64,0.0227,tesla_c2075,2,4.0,0,3,1,16,4,1.3624921334172437,3.5110132158590304,21,0.0797,0.030928571428571434
mm3_kernel1,64,8,8,1,64,0.0174,nvidia_geforce_rtx_2070_super,2,4.0,0,3,1,16,4,2.1788406871832904,17.24137931034483,93,0.3,0.037911827956989254
mm3_kernel1,128,16,2,1,32,0.0318,geforce_gtx_1080_ti,2,4.0,0,3,1,16,4,4.2902488845885065,45.27987421383647,117,1.4399,0.13642991452991451
mm3_kernel1,256,16,4,1,64,0.123,nvidia_geforce_rtx_2070_super,2,4.0,0,3,1,16,4,7.06589800443459,88.54552845528455,110,10.8911,0.8691054545454546
mm3_kernel1,512,32,4,1,128,0.7512,geforce_gtx_1080_ti,2,4.0,0,3,1,16,4,3.8206936928125885,15.57388178913738,98,11.6991,2.8701051020408164
mm3_kernel1,1024,32,4,1,128,5.7336,geforce_gtx_1080_ti,2,4.0,0,3,1,16,4,4.2436714426073205,19.716146923398913,96,113.0445,24.331514583333334
mm3_kernel1,2048,64,4,1,256,47.1252,geforce_gtx_1080_ti,2,4.0,0,3,1,16,4,3.9484095469798186,15.517542631118806,96,731.2673,186.06958958333334
mm3_kernel2,32,32,1,1,32,0.015,tesla_c2075,2,4.0,0,3,1,16,4,1.6031746031746033,5.046666666666667,21,0.0757,0.024047619047619047
mm3_kernel2,64,16,8,1,128,0.0123,nvidia_geforce_rtx_2070_super,2,4.0,0,3,1,16,4,2.4574700585715537,23.284552845528452,93,0.2864,0.03022688172043011
mm3_kernel2,128,16,8,1,128,0.0246,geforce_gtx_1080_ti,2,4.0,0,3,1,16,4,5.32801751094434,58.50406504065041,117,1.4392,0.13106923076923077
mm3_kernel2,256,16,4,1,64,0.1171,nvidia_geforce_rtx_2070_super,2,4.0,0,3,1,16,4,7.322366275910257,92.98804440649018,110,10.8889,0.857449090909091
mm3_kernel2,512,128,4,1,512,0.7498,geforce_gtx_1080_ti,2,4.0,0,3,1,16,4,3.8400498636371054,16.19218458255535,98,12.1409,2.8792693877551017
mm3_kernel2,1024,512,1,1,512,5.743,geforce_gtx_1080_ti,2,4.0,0,3,1,16,4,4.1236387413663005,17.524342678042835,96,100.6423,23.682057291666666
mm3_kernel2,2048,32,8,1,256,46.8853,geforce_gtx_1080_ti,2,4.0,0,3,1,16,4,3.882472069248428,15.366605311259605,96,720.4679,182.03086770833332
mm3_kernel3,32,32,4,1,128,0.0152,tesla_c2075,2,4.0,0,3,1,16,4,1.5350877192982455,4.769736842105263,21,0.0725,0.02333333333333333
mm3_kernel3,64,16,32,1,512,0.0123,nvidia_geforce_rtx_2070_super,2,4.0,0,3,1,16,4,2.3923419879360086,23.24390243902439,93,0.2859,0.029425806451612906
mm3_kernel3,128,16,16,1,256,0.0239,geforce_gtx_1080_ti,2,4.0,0,3,1,16,4,5.457139791867825,60.27615062761507,117,1.4406,0.13042564102564103
mm3_kernel3,256,16,4,1,64,0.1171,nvidia_geforce_rtx_2070_super,2,4.0,0,3,1,16,4,7.289876562378697,93.07429547395388,110,10.899,0.8536445454545454
